nombre|dirección|ciudad|tipo
Los Pinos|935 Lauren Mission Suite 694|Loja|Residencial
Las Acacias|North Geoffrey, WI 53887|Quito|Negocio
Las Zarzas|350 Boone Drive Suite 519|Cuenca|Público
Los Alpes|Kimberlyborough, GU 23095|Zamora|Residencial
Santa Lucia|3451 James Drives|Quito|Negocio
Cuarto Centenario|Port Dorothymouth, SD 24002|Esmeraldas|Público
Mason, Bentley and Tucker|5040 Patel Ferry|Bolivar|Residencial
Eaton Ltd|Tylerburgh, NJ 30730|Cuenca|Negocio
Summers-Walker|19161 Johnson Run Apt. 637|Loja|Público
Howard-Higgins|Donaldshire, IL 71207|Zamora|Residencial
Mcguire-Dean|942 Paula Harbors Suite 915|Guayaquil|Negocio
Johnson, Williams and Bell|New Jennifer, DE 03415|Portoviejo|Público
Bullock-Ramos|6080 Flores Square|Machala|Residencial
Lara-Sandoval|Arthurview, NV 28671|Loja|Negocio
Ramirez PLC|5689 Ruiz Shoal Apt. 359|Zamora|Público
Wells, Edwards and Smith|Taylorside, AZ 73180|Catamayo|Público
